Symbol,Name,Exchange,Industry,SIC Description
AVGO,Broadcom Ltd,NASDAQ,Electronics - Semiconductors,SIC-3674 Semiconductors & Related Devices
AVT,Avnet Inc,NASDAQ,Electronics - Parts Distrib,"SIC-5065 Wholesale-Electronic Parts & Equipment, NEC"
AVTR,Avantor Inc,NYSE,Medical Services,SIC-3826 Laboratory Analytical Instruments
AVY,Avery Dennison Corp,NYSE,Office Supply & Forms,SIC-2670 Converted Paper & Paperboard Prods (No Conta
AWI,Armstrong World Industries Inc,NYSE,Building & Construction - Misc,"SIC-3089 Plastics Products, NEC"
AWK,American Water Works,NYSE,Utility - Water Supply,SIC-4941 Water Supply
AXON,Axon Enterprise Inc,NASDAQ,Protection - Safety,"SIC-3480 Ordnance & Accessories, (No Vehicles/Guided"
AXP,American Express Company,NYSE,Finance - Misc Services,SIC-6199 Finance Services
AXS,Axis Capital Holdings,NYSE,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance"
AXTA,Axalta Coating Systems Ltd,NYSE,Chemical - Specialty,"SIC-2851 Paints, Varnishes, Lacquers, Enamels & Allie"
AYI,Acuity Brands Inc,NYSE,Building Products - Ltg FX,SIC-3640 Electric Lighting & Wiring Equipment
AZEK,The Azek Company Cl A,NYSE,Building Prdcts - Air Heating,"SIC-3089 Plastics Products, NEC"
AZO,Autozone,NYSE,Retail - Wholesale Auto Parts,SIC-5531 Retail-Auto & Home Supply Stores
AZPN,Aspen Technology,NASDAQ,Internet - Software,SIC-7371 Services-Computer Programming Services
AZTA,Azenta Inc,NASDAQ,Medical Information Systems,"SIC-3559 Special Industry Machinery, NEC"
BA,Boeing Company,NYSE,Aerospace - Defense,SIC-3721 Aircraft
BAC,Bank of America Corp,NYSE,Banks - Major Regional,SIC-6021 National Commercial Banks
BAH,Booz Allen Hamilton Holding Corp,NYSE,Government Services,SIC-8742 Services-Management Consulting Services
BALL,Ball Corporation,NYSE,Containers - Metal & Glass,SIC-3411 Metal Cans
BAX,Baxter International Inc,NYSE,Medical Products,SIC-3841 Surgical & Medical Instruments & Apparatus
BBWI,Bath & Body Works Inc,NYSE,Retail - Misc & Diversified,SIC-5621 Retail-Womens Clothing Stores
BBY,Best Buy Company,NYSE,Retail - Consumer Electronics,"SIC-5731 Retail-Radio, Tv & Consumer Electronics Stor"
BC,Brunswick Corp,NYSE,Leisure & Recreational Prdcts,SIC-3510 Engines & Turbines
BDX,Becton Dickinson and Company,NYSE,Medical - Dental Suppliers,SIC-3841 Surgical & Medical Instruments & Apparatus
BEN,Franklin Resources,NYSE,Finance - Investment Mgmt,SIC-6282 Investment Advice
BEPC,Brookfield Renewable Corp,NYSE,Other Alt Energy,SIC-4911 Electric Services
BERY,Berry Global Group,NYSE,Containers - Paper Products,"SIC-3089 Plastics Products, NEC"
BF-A,Brown Forman Inc Cl A,NYSE,Beverages - Alcohol,SIC-5181 Beer and Ale
BF-B,Brown Forman Inc Cl B,NYSE,Beverages - Alcohol,SIC-2080 Beverages
BFAM,Bright Horizons Family Solutions Inc,NYSE,Schools,SIC-8351 Services-Child Day Care Services
BG,Bunge Ltd,NYSE,Agriculture Products,SIC-2070 Fats & Oils
BHF,Brighthouse Financial Inc,NASDAQ,Insurance - Life,SIC-6311 Life Insurance
BIIB,Biogen Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
BILL,Bill Holdings Inc,NYSE,Internet - Software,SIC-7372 Services-Prepackaged Software
BIO,Bio-Rad Laboratories,NYSE,Medical Products,SIC-3826 Laboratory Analytical Instruments
BIRK,Birkenstock Holding Plc,NYSE,Shoes and Related Apparel,"SIC-3140 Footwear, (No Rubber)"
BJ,Bj's Wholesale Club Holdings Inc,NYSE,Consumer Services - Misc,SIC-5331 Retail-Variety Stores
BK,Bank of New York Mellon Corp,NYSE,Banks - Major Regional,SIC-6022 State Commercial Banks
BKNG,Booking Holdings Inc,NASDAQ,Internet Commerce,SIC-4700 Transportation Services
BKR,Baker Hughes Company,NASDAQ,Oil - Field Services,SIC-3533 Oil & Gas Field Machinery & Equipment
BLD,Topbuild Corp,NYSE,Building & Construction - Misc,SIC-1700 Construction - Special Trade Contractors
BLDR,Builders Firstsource,NYSE,Building Prds Retail - Wsale,SIC-5211 Retail-Lumber & Other Building Materials Dea
BLK,Blackrock Inc,NYSE,Finance - Investment Mgmt,"SIC-6211 Security Brokers, Dealers & Flotation Compan"
BMRN,Biomarin Pharmaceuticals,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
BMY,Bristol-Myers Squibb Company,NYSE,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
BOKF,Bok Financial Corp,NASDAQ,Banks - Southwest,SIC-6021 National Commercial Banks
BPOP,Popular Inc,NASDAQ,Banks - Southeast,SIC-6022 State Commercial Banks
BR,Broadridge Financial Solutions Llc,NYSE,Outsourcing,SIC-2082 Malt Beverages
BRBR,Bellring Brands Inc Cl A,NYSE,Medical Products,SIC-2000 Food and Kindred Products
BRK-B,Berkshire Hathaway Cl B,NYSE,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance"
BRKR,Bruker Corp,NASDAQ,Industrial Scientific,SIC-3826 Laboratory Analytical Instruments
BRO,Brown & Brown,NYSE,Insurance - Brokers,"SIC-6411 Insurance Agents, Brokers & Service"
BROS,Dutch Bros Inc Cl A,NYSE,Retail - Restaurants,SIC-5810 Retail-Eating & Drinking Places
BRX,Brixmor Property Group Inc,NYSE,REIT - Equity Trust Retail,SIC-6798 Real Estate Investment Trusts
BSX,Boston Scientific Corp,NYSE,Medical Products,SIC-3841 Surgical & Medical Instruments & Apparatus
BSY,Bentley Systems Inc Cl B,NASDAQ,Internet - Software,SIC-7372 Services-Prepackaged Software
BURL,Burlington Stores Inc,NYSE,Retail - Discount,SIC-5311 Retail-Department Stores
BWA,Borgwarner Inc,NYSE,Auto - Truck Original Parts,SIC-3714 Motor Vehicle Parts & Accessories
BWXT,Bwx Technologies Inc,NYSE,Electronics - Misc Components,SIC-3510 Engines & Turbines
BX,Blackstone Inc,NYSE,Finance - Misc Services,SIC-6282 Investment Advice
BXP,Bxp Inc,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
BYD,Boyd Gaming Corp,NYSE,Gaming,SIC-7011 Hotels & Motels
C,Citigroup Inc,NYSE,Banks - Major Regional,SIC-6021 National Commercial Banks
CACC,Credit Acceptance,NASDAQ,Finance - Consumer Loans,SIC-6141 Personal Credit Institutions
CACI,Caci International,NYSE,Computer - Services,SIC-7373 Services-Computer Integrated Systems Design
CAG,Conagra Brands Inc,NYSE,Food - Misc & Diversified,SIC-2000 Food and Kindred Products
CAH,Cardinal Health,NYSE,Medical - Dental Suppliers,"SIC-5122 Wholesale-Drugs, Proprietaries & Druggists"
CAR,Avis Budget Group,NASDAQ,Transportation - Services,SIC-7510 Services-Auto Rental & Leasing (No Drivers)
CARR,Carrier Global Corp,NYSE,Electronics Products - Misc,SIC-3585 Air-Cond & Warm Air Heatg Equip & Comm & Ind
CART,Maplebear Inc [Instacart],NASDAQ,Technology Services,"SIC-7389 Services-Business Services, NEC"
CASY,Casey's General Stor,NASDAQ,Retail - Convenience Stores,SIC-5500 Retail-Auto Dealers & Gasoline Stations
