Ticker,Name,Asset Class,Weight (%),Sector,Exchange
REN,RESOLUTE ENERGY CORP,Equity,0,Energy,New York Stock Exchange Inc.
GLOG,GASLOG LTD,Equity,0,Energy,New York Stock Exchange Inc.
ATRO,ASTRONICS CORP,Equity,0,Industrials,NASDAQ
PRTY,PARTY CITY HOLDCO INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
SYBT,STOCK YARDS BANCORP INC,Equity,0,Financials,NASDAQ
HT,HERSHA HOSPITALITY REIT TRUST CLAS,Equity,0,Real Estate,New York Stock Exchange Inc.
CNSL,CONSOLIDATED COMMUNICATIONS HOLDIN,Equity,0,Communication,NASDAQ
AMKR,AMKOR TECHNOLOGY INC,Equity,0,Information Technology,NASDAQ
CLBK,COLUMBIA FINANCIAL INC,Equity,0,Financials,NASDAQ
AVX,AVX CORP,Equity,0,Information Technology,New York Stock Exchange Inc.
JAG,JAGGED PEAK ENERGY INC,Equity,0,Energy,New York Stock Exchange Inc.
NANO,NANOMETRICS INC,Equity,0,Information Technology,NASDAQ
LABL,MULTI COLOR CORP,Equity,0,Industrials,NASDAQ
OMER,OMEROS CORP,Equity,0,Health Care,NASDAQ
PRFT,PERFICIENT INC,Equity,0,Information Technology,NASDAQ
ACOR,ACORDA THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
HIFR,INFRAREIT INC,Equity,0,Real Estate,New York Stock Exchange Inc.
NRE,NORTHSTAR REALTY EUROPE CORP,Equity,0,Real Estate,New York Stock Exchange Inc.
CARA,CARA THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Equity,0,Information Technology,NASDAQ
CIR,CIRCOR INTERNATIONAL INC,Equity,0,Industrials,New York Stock Exchange Inc.
ALX,ALEXANDERS REIT INC,Equity,0,Real Estate,New York Stock Exchange Inc.
SRCE,1ST SOURCE CORP,Equity,0,Financials,NASDAQ
HSTM,HEALTHSTREAM INC,Equity,0,Health Care,NASDAQ
HSKA,HESKA CORP,Equity,0,Health Care,NASDAQ
PRSC,PROVIDENCE SERVICE CORP,Equity,0,Health Care,NASDAQ
EXPR,EXPRESS INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
GPRO,GOPRO INC CLASS A,Equity,0,Consumer Discretionary,NASDAQ
ORBC,ORBCOMM INC,Equity,0,Communication,NASDAQ
CHRS,COHERUS BIOSCIENCES INC,Equity,0,Health Care,NASDAQ
CHEF,CHEFS WAREHOUSE INC,Equity,0,Consumer Staples,NASDAQ
CRAY,CRAY INC,Equity,0,Information Technology,NASDAQ
VRTS,VIRTUS INVESTMENT PARTNERS INC,Equity,0,Financials,NASDAQ
IOVA,IOVANCE BIOTHERAPEUTICS INC,Equity,0,Health Care,NASDAQ
GLUU,GLU MOBILE INC,Equity,0,Communication,NASDAQ
LBAI,LAKELAND BANCORP INC,Equity,0,Financials,NASDAQ
NCOM,NATIONAL COMMERCE CORP,Equity,0,Financials,NASDAQ
CONN,CONNS INC,Equity,0,Consumer Discretionary,NASDAQ
SXC,SUNCOKE ENERGY INC,Equity,0,Materials,New York Stock Exchange Inc.
MCS,THE MARCUS CORP,Equity,0,Communication,New York Stock Exchange Inc.
GLT,GLATFELTER,Equity,0,Materials,New York Stock Exchange Inc.
HBNC,HORIZON BNCP IND,Equity,0,Financials,NASDAQ
CWK,CUSHMAN AND WAKEFIELD PLC,Equity,0,Real Estate,New York Stock Exchange Inc.
RCII,RENT-A-CENTER INC,Equity,0,Consumer Discretionary,NASDAQ
AMPH,AMPHASTAR PHARMACEUTICALS INC,Equity,0,Health Care,NASDAQ
ITG,INVESTMENT TECHNOLOGY GROUP INC,Equity,0,Financials,New York Stock Exchange Inc.
TDW,TIDEWATER INC,Equity,0,Energy,New York Stock Exchange Inc.
VICR,VICOR CORP,Equity,0,Industrials,NASDAQ
ECHO,ECHO GLOBAL LOGISTICS INC,Equity,0,Industrials,NASDAQ
MSBI,MIDLAND STATES BANCORP INC,Equity,0,Financials,NASDAQ
NHC,NATIONAL HEALTHCARE CORP,Equity,0,Health Care,Nyse Mkt Llc
RTEC,RUDOLPH TECHNOLOGIES INC,Equity,0,Information Technology,New York Stock Exchange Inc.
UBA,URSTADT BIDDLE PROPERTIES REIT INC,Equity,0,Real Estate,New York Stock Exchange Inc.
CSWI,CSW INDUSTRIALS INC,Equity,0,Industrials,NASDAQ
RMAX,RE MAX HOLDINGS INC CLASS A,Equity,0,Real Estate,New York Stock Exchange Inc.
SRI,STONERIDGE INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
USCR,US CONCRETE INC,Equity,0,Materials,NASDAQ
WASH,WASHINGTON TRUST BANCORP INC TRUST,Equity,0,Financials,NASDAQ
COKE,COCA COLA BOTTLING,Equity,0,Consumer Staples,NASDAQ
BOOT,BOOT BARN HOLDINGS INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
MRTN,MARTEN TRANSPORT LTD,Equity,0,Industrials,NASDAQ
QADA,QAD INC CLASS A,Equity,0,Information Technology,NASDAQ
NTRA,NATERA INC,Equity,0,Health Care,NASDAQ
NWLI,NATIONAL WESTERN LIFE GROUP INC CL,Equity,0,Financials,NASDAQ
CCF,CHASE CORP,Equity,0,Materials,Nyse Mkt Llc
TRST,TRUSTCO BANK CORP,Equity,0,Financials,NASDAQ
CPF,CENTRAL PACIFIC FINANCIAL CORP,Equity,0,Financials,New York Stock Exchange Inc.
MMI,MARCUS & MILLICHAP INC,Equity,0,Real Estate,New York Stock Exchange Inc.
DVAX,DYNAVAX TECHNOLOGIES CORP,Equity,0,Health Care,NASDAQ
BRSS,GLOBAL BRASS AND COPPER HOLDINGS I,Equity,0,Industrials,New York Stock Exchange Inc.
XPER,XPERI CORP,Equity,0,Information Technology,NASDAQ
PS,PLURALSIGHT INC CLASS A,Equity,0,Information Technology,NASDAQ
TRUP,TRUPANION INC,Equity,0,Financials,NASDAQ
UVSP,UNIVEST CORPORATION OF PENNSYLVANI,Equity,0,Financials,NASDAQ
VIRT,VIRTU FINANCIAL INC CLASS A,Equity,0,Financials,NASDAQ
AMBC,AMBAC FINANCIAL GROUP INC,Equity,0,Financials,NASDAQ
BMRC,BANK OF MARIN BANCORP,Equity,0,Financials,NASDAQ
CASS,CASS INFORMATION SYSTEMS INC,Equity,0,Information Technology,NASDAQ
WVE,WAVE LIFE SCIENCES LTD,Equity,0,Health Care,NASDAQ
GBNK,GUARANTY BANCORP,Equity,0,Financials,NASDAQ
HAFC,HANMI FINANCIAL CORP,Equity,0,Financials,NASDAQ
CKH,SEACOR HOLDINGS INC,Equity,0,Energy,New York Stock Exchange Inc.
TPC,TUTOR PERINI CORP,Equity,0,Industrials,New York Stock Exchange Inc.
FRGI,FIESTA RESTAURANT GROUP INC,Equity,0,Consumer Discretionary,NASDAQ
IRET,INVESTORS REAL ESTATE TRUST REIT T,Equity,0,Real Estate,New York Stock Exchange Inc.
CTMX,CYTOMX THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
CBB,CINCINNATI BELL INC,Equity,0,Communication,New York Stock Exchange Inc.
CUBI,CUSTOMERS BANCORP INC,Equity,0,Financials,New York Stock Exchange Inc.
MCFT,MCBC HOLDINGS INC,Equity,0,Consumer Discretionary,NASDAQ
MGNX,MACROGENICS INC,Equity,0,Health Care,NASDAQ
CMO,CAPSTEAD MORTGAGE REIT CORP,Equity,0,Financials,New York Stock Exchange Inc.
HMHC,HOUGHTON MIFFLIN HARCOURT,Equity,0,Consumer Discretionary,NASDAQ
CCS,CENTURY COMMUNITIES INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
FFG,FBL FINANCIAL GROUP INC CLASS A,Equity,0,Financials,New York Stock Exchange Inc.
AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,Equity,0,Financials,New York Stock Exchange Inc.
AMAG,AMAG PHARMACEUTICALS INC,Equity,0,Health Care,NASDAQ
CAMP,CALAMP CORP,Equity,0,Information Technology,NASDAQ
KPTI,KARYOPHARM THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
RDUS,RADIUS HEALTH INC,Equity,0,Health Care,NASDAQ
DF,DEAN FOODS,Equity,0,Consumer Staples,New York Stock Exchange Inc.
GMS,GMS INC,Equity,0,Industrials,New York Stock Exchange Inc.
OFG,OFG BANCORP,Equity,0,Financials,New York Stock Exchange Inc.
NCMI,NATIONAL CINEMEDIA INC,Equity,0,Communication,NASDAQ
NCS,NCI BUILDING SYSTEMS INC,Equity,0,Industrials,New York Stock Exchange Inc.
HMST,HOMESTREET INC,Equity,0,Financials,NASDAQ
MOD,MODINE MANUFACTURING,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
STAR,ISTAR REIT INC,Equity,0,Real Estate,New York Stock Exchange Inc.
MSEX,MIDDLESEX WATER,Equity,0,Utilities,NASDAQ
MHO,M I HOMES INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
DFIN,DONNELLEY FINANCIAL SOLUTIONS INC,Equity,0,Financials,New York Stock Exchange Inc.
CHCT,COMMUNITY HEALTHCARE TRUST INC TRU,Equity,0,Real Estate,New York Stock Exchange Inc.
FFIC,FLUSHING FINANCIAL CORP,Equity,0,Financials,NASDAQ
LNTH,LANTHEUS HOLDINGS INC,Equity,0,Health Care,NASDAQ
CMTL,COMTECH TELECOMMUNICATIONS CORP,Equity,0,Information Technology,NASDAQ
FFWM,FIRST FOUNDATION INC,Equity,0,Financials,NASDAQ
AGS,PLAYAGS INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
SCHN,SCHNITZER STEEL INDUSTRIES INC CLA,Equity,0,Materials,NASDAQ
SPTN,SPARTANNASH,Equity,0,Consumer Staples,NASDAQ
VKTX,VIKING THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
CRVL,CORVEL CORP,Equity,0,Health Care,NASDAQ
DRNA,DICERNA PHARMACEUTICALS INC,Equity,0,Health Care,NASDAQ
LMAT,LEMAITRE VASCULAR INC,Equity,0,Health Care,NASDAQ
LDL,LYDALL INC,Equity,0,Industrials,New York Stock Exchange Inc.
BFS,SAUL CENTERS REIT INC,Equity,0,Real Estate,New York Stock Exchange Inc.
