Symbol,Name,Exchange,Industry,"SIC Description"
EOG,"Eog Resources",NYSE,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas"
EOLS,"Evolus Inc",NASDAQ,"Medical Products","SIC-2834 Pharmaceutical Preparations"
EPAC,"Actuant Corp",NYSE,"Machinery - Tools & Related","SIC-3590 Misc Industrial & Commercial Machinery & Equ"
EPAM,"Epam Systems Inc",NYSE,"IT Services","SIC-7371 Services-Computer Programming Services"
EPC,"Edgewell Personal Care",NYSE,"Consumer Prdts - Misc Staple","SIC-2844 Perfumes, Cosmetics & Other Toilet Preparati"
EPM,"Evolution Petroleum Corp","NYSE Arca","Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas"
EPR,"Entertainment Properties Trust",NYSE,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts"
EPRT,"Essential Properties Realty Trust Inc",NYSE,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts"
EQBK,"Equity Bncsrs Cm A",NYSE,"Banks - Northeast","SIC-6022 State Commercial Banks"
EQC,"Equity Commonwealth",NYSE,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts"
EQH,"Axa Equitable Holdings Inc",NYSE,"Finance - Misc Services","SIC-6411 Insurance Agents, Brokers & Service"
EQIX,"Equinix Inc",NASDAQ,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts"
EQR,"Equity Residential",NYSE,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts"
EQT,"Eqt Corp",NYSE,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas"
ERAS,"Erasca Inc",NASDAQ,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations"
ERII,"Energy Recovery Inc",NASDAQ,"Pollution Controls","SIC-3559 Special Industry Machinery, NEC"
ES,"Eversource Energy",NYSE,"Utility - Electric Power","SIC-4911 Electric Services"
ESAB,"Esab Corp",NYSE,"Metal Production & Fabrication","SIC-3569 General Industrial Machinery & Equipment, NE"
ESE,"Esco Technologies Inc",NYSE,"Machinery - Electrical","SIC-3669 Communications Equipment, NEC"
ESGR,"Enstar Group Ltd",NASDAQ,"Insurance - Multi Line","SIC-6331 Fire, Marine & Casualty Insurance"
ESI,"Element Solutions Inc",NYSE,"Chemical - Specialty","SIC-1381 Drilling Oil & Gas Wells"
ESNT,"Essent Group Ltd",NYSE,"Finance - Mortgage & Rel Svs","SIC-6351 Surety Insurance"
ESPR,"Esperion Theraptc",NASDAQ,"Medical - Drugs","SIC-2834 Pharmaceutical Preparations"
ESQ,"Esquire Financial Holdings Inc",NASDAQ,"Banks - Northeast","SIC-6029 Commercial Banks, NEC"
ESRT,"Empire State Realty Trust Inc",NYSE,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts"
ESS,"Essex Property Trust",NYSE,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts"
ESTC,"Elastic N.V.",NYSE,"Technology Services","SIC-7372 Services-Prepackaged Software"
ETD,"Ethan Allen Interiors Inc",NYSE,"Retail - Home Furniture","SIC-2511 Wood Household Furniture, (No Upholstered)"
ETN,"Eaton Corp",NYSE,"Machinery - Electrical","SIC-3590 Misc Industrial & Commercial Machinery & Equ"
ETNB,"89Bio Inc",NASDAQ,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations"
ETR,"Entergy Corp",NYSE,"Utility - Electric Power","SIC-4911 Electric Services"
ETSY,"Etsy Inc",NASDAQ,"Internet Commerce","SIC-7389 Services-Business Services, NEC"
ETWO,"E2Open Parent Hldg",NYSE,"Internet - Software","SIC-7374 Services-Computer Processing & Data Preparat"
